,precision,recall,f1-score,support
critical,0.19781328847771237,0.33201581027667987,0.24791820385791083,3542.0
emergency,0.19976218787158145,1.0,0.3330029732408325,504.0
high,0.2073523337463858,0.12246889485240303,0.1539877300613497,4099.0
info,0.21615302869287992,0.28055172413793106,0.24417767106842736,3625.0
low,0.202602884277172,0.14041930765480254,0.16587473002159828,4102.0
medium,0.2252079334612924,0.08527131782945736,0.12370409418379898,4128.0
accuracy,0.20635,0.20635,0.20635,0.20635
macro avg,0.20814860942117064,0.32678784245854564,0.21144423373898627,20000.0
weighted avg,0.2097781068073317,0.20635,0.187668409153097,20000.0
